Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid,mlbamid
Aaron Judge,NYY,369,1606,123,272,274,25,14.90%,25.50%,0.322,0.333,0.296,0.403,0.618,0.425,,180,2,150.5,-6.4,20.3,15640,592450
Freddie Freeman,- - -,435,1940,75,338,266,37,11.50%,15.40%,0.21,0.35,0.32,0.405,0.53,0.396,,153,12.5,137.2,-27.1,17.9,5361,518692
Jose Ramirez,CLE,422,1820,83,269,294,65,10.70%,12.10%,0.239,0.272,0.276,0.355,0.515,0.363,,135,16.5,90.4,10.9,16.5,13510,608070
Mookie Betts,LAD,375,1704,89,304,220,30,11.30%,16.00%,0.259,0.278,0.273,0.363,0.532,0.381,,144,5.1,97.1,0.9,15.9,13611,605141
Francisco Lindor,NYM,402,1728,68,243,240,45,9.70%,19.30%,0.191,0.275,0.25,0.331,0.441,0.334,,117,9.3,45.2,46.1,15.3,12916,596019
Marcus Semien,- - -,441,1997,89,310,257,50,8.70%,16.90%,0.215,0.277,0.263,0.328,0.478,0.345,,121,13.4,62.8,20.6,15.2,12533,543760
Trea Turner,- - -,425,1875,61,274,221,81,6.40%,19.30%,0.176,0.341,0.295,0.343,0.471,0.349,,122,17.5,67.2,18.1,15.2,16252,607208
Juan Soto,- - -,422,1836,80,271,232,21,20.60%,16.00%,0.222,0.293,0.274,0.426,0.497,0.395,,153,-6.5,112.9,-28.1,14.9,20123,665742
Paul Goldschmidt,STL,423,1844,84,273,273,28,11.20%,21.00%,0.221,0.342,0.296,0.377,0.517,0.383,,148,6.1,111.7,-28.7,14.9,9218,502671
Shohei Ohtani,LAA,432,1827,121,284,279,54,13.30%,26.10%,0.309,0.32,0.276,0.377,0.585,0.397,,157,5.2,127.7,-42.5,14.8,19755,660271
Nolan Arenado,STL,417,1751,88,210,290,9,7.70%,14.30%,0.236,0.277,0.277,0.335,0.513,0.357,,130,-4.7,59.2,24.3,14.6,9777,571448
Jose Altuve,HOU,335,1500,68,263,167,34,10.80%,14.30%,0.222,0.303,0.292,0.374,0.513,0.38,,148,2.5,85.9,6.5,14.5,5417,514888
Manny Machado,SDP,405,1727,81,250,276,24,9.50%,18.10%,0.217,0.301,0.28,0.347,0.497,0.357,,131,-1.3,62.9,20,14.5,11493,592518
