"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Zack Wheeler","PHI","35","22","0","81","81","503.1","10.10","1.88","0.77",".293","74.7%","45.7%","10.1%","96.6","3.06","","2.81","3.07","15.6","10310","554430"
"Kevin Gausman","- - -","35","22","0","87","87","505.2","10.95","1.99","0.87",".323","76.3%","41.3%","10.2%","94.7","3.06","","2.71","2.99","14.9","14107","592332"
"Corbin Burnes","MIL","32","19","0","85","85","514.0","10.91","2.42","0.81",".268","75.0%","46.6%","11.2%","96.3","2.96","","2.87","2.99","14.4","19361","669203"
"Aaron Nola","PHI","29","30","0","88","88","534.0","10.30","1.74","1.20",".291","68.8%","41.4%","12.8%","92.9","4.06","","3.30","3.26","13.2","16149","605400"
"Sandy Alcantara","MIA","28","34","0","89","89","592.2","8.25","2.13","0.82",".271","73.7%","52.9%","11.1%","98.0","3.08","","3.35","3.49","12.8","18684","645261"
"Gerrit Cole","NYY","39","19","0","88","88","538.1","11.13","2.22","1.20",".282","78.9%","41.8%","13.7%","97.5","3.19","","3.24","3.09","11.9","13125","543037"
"Logan Webb","SFG","35","21","0","84","83","503.2","8.54","1.98","0.66",".300","73.3%","59.2%","12.0%","92.9","3.06","","3.01","3.04","11.8","17995","657277"
"Dylan Cease","CHW","32","21","0","89","89","483.0","11.37","3.86","0.91",".294","75.8%","36.4%","9.6%","96.5","3.37","","3.37","3.76","11.6","18525","656302"
"Max Scherzer","- - -","37","13","0","74","74","445.1","11.01","1.90","1.21",".267","83.5%","32.5%","11.5%","94.2","2.79","","3.28","3.45","11.0","3137","453286"
"Shohei Ohtani","LAA","34","16","0","73","73","427.0","11.38","2.99","0.99",".269","81.0%","43.9%","12.7%","96.5","2.85","","3.24","3.21","10.9","19755","660271"
"Carlos Rodon","- - -","28","17","0","61","61","337.2","11.91","2.83","0.88",".276","76.7%","35.6%","9.2%","95.4","3.04","","2.82","3.26","10.6","16137","607074"
"Zac Gallen","ARI","28","19","0","79","79","461.0","9.68","2.50","0.96",".270","75.3%","43.0%","11.1%","93.6","3.24","","3.37","3.53","10.0","19291","668678"
"Max Fried","ATL","31","15","0","65","65","387.0","8.49","1.86","0.67",".281","76.8%","52.6%","9.7%","94.0","2.72","","2.95","3.23","9.8","13743","608331"
"Luis Castillo","- - -","24","29","0","82","82","481.1","9.76","2.92","1.03",".286","74.3%","49.2%","13.3%","96.9","3.42","","3.59","3.50","9.8","15689","622491"
"Framber Valdez","HOU","37","19","0","75","75","478.0","8.72","3.01","0.68",".280","75.7%","64.0%","15.0%","93.1","3.05","","3.40","3.23","9.7","17295","664285"
"Nathan Eovaldi","- - -","28","15","0","71","71","415.1","8.86","1.93","0.95",".299","73.7%","46.1%","10.8%","96.4","3.47","","3.32","3.57","9.7","9132","543135"
"Julio Urias","LAD","47","16","0","81","81","460.0","9.00","1.96","1.15",".257","79.0%","39.4%","11.0%","93.4","2.95","","3.60","3.83","9.6","14765","628711"
"Clayton Kershaw","LAD","32","15","0","61","61","348.1","10.08","1.76","0.98",".274","78.4%","48.0%","12.8%","90.9","2.79","","3.00","2.97","9.6","2036","477132"
"Yu Darvish","SDP","32","26","0","81","81","481.1","9.74","2.26","1.23",".271","74.8%","38.1%","12.3%","94.8","3.76","","3.71","3.73","9.3","13074","506433"
"Shane Bieber","CLE","25","18","0","66","66","413.2","9.29","2.22","0.94",".295","77.2%","46.8%","12.1%","91.9","3.20","","3.26","3.28","9.1","19427","669456"
"Joe Musgrove","SDP","31","19","0","79","78","459.2","9.48","2.29","1.06",".279","79.8%","44.3%","12.7%","93.1","3.05","","3.62","3.59","9.0","12970","605397"
"Sonny Gray","- - -","21","19","0","74","74","391.1","9.48","3.06","0.80",".288","74.9%","46.7%","10.3%","92.5","3.45","","3.39","3.64","8.8","12768","543243"
