last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2019,747,556,0.285,0.272,0.0129999999999999,0.522,0.495,0.027,0.373,0.363,0.01
Merrifield, Whit,593160,2019,735,559,0.302,0.28,0.0219999999999999,0.463,0.431,0.032,0.34,0.324,0.016
Acuña Jr., Ronald,660670,2019,715,439,0.28,0.279,0.001,0.518,0.574,-0.0559999999999999,0.369,0.39,-0.021
Villar, Jonathan,542340,2019,714,472,0.274,0.246,0.028,0.453,0.412,0.041,0.335,0.315,0.02
Betts, Mookie,605141,2019,706,505,0.295,0.311,-0.016,0.524,0.577,-0.0529999999999999,0.38,0.411,-0.0309999999999999
Hoskins, Rhys,656555,2019,705,403,0.226,0.215,0.011,0.454,0.417,0.037,0.347,0.337,0.0099999999999999
Polanco, Jorge,593871,2019,704,524,0.295,0.271,0.0239999999999999,0.485,0.464,0.0209999999999999,0.352,0.341,0.0109999999999999
Albies, Ozzie,645277,2019,702,532,0.295,0.282,0.013,0.5,0.482,0.018,0.354,0.346,0.008
Devers, Rafael,646240,2019,702,531,0.311,0.298,0.013,0.555,0.528,0.027,0.377,0.368,0.009
Escobar, Eduardo,500871,2019,699,516,0.269,0.254,0.015,0.511,0.464,0.0469999999999999,0.341,0.326,0.015
Bogaerts, Xander,593428,2019,698,498,0.309,0.272,0.0369999999999999,0.555,0.474,0.081,0.39,0.355,0.035
Abreu, José,547989,2019,693,492,0.284,0.279,0.0049999999999999,0.503,0.517,-0.014,0.344,0.358,-0.014
Alonso, Pete,624413,2019,693,417,0.26,0.257,0.003,0.583,0.551,0.0319999999999999,0.384,0.38,0.004
Freeman, Freddie,518692,2019,692,472,0.295,0.294,0.001,0.549,0.569,-0.0199999999999999,0.387,0.397,-0.01
Bregman, Alex,608324,2019,690,479,0.296,0.263,0.0329999999999999,0.592,0.453,0.1389999999999999,0.418,0.373,0.0449999999999999
Santana, Carlos,467793,2019,686,467,0.281,0.266,0.015,0.515,0.48,0.035,0.38,0.367,0.013
Harper, Bryce,547180,2019,682,399,0.26,0.273,-0.013,0.51,0.547,-0.037,0.365,0.387,-0.022
Goldschmidt, Paul,502671,2019,682,434,0.26,0.257,0.003,0.476,0.509,-0.033,0.346,0.359,-0.013
Mancini, Trey,641820,2019,679,464,0.291,0.277,0.0139999999999999,0.535,0.503,0.032,0.373,0.362,0.011
Soler, Jorge,624585,2019,679,415,0.265,0.276,-0.011,0.569,0.596,-0.027,0.378,0.396,-0.018
