Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mookie Betts","- - -",728,3322,170,631,432,88,0.11980734,0.15291993,0.26146307,0.30751812,0.29716486,0.38681517,0.55862793,0.3975425824152925,,152.65928412846614,21.622338408138603,235.70760857235527,21.17214822769165,37.49920035811572,"Mookie Betts",13611,605141
"José Ramírez","CLE",778,3367,165,499,534,136,0.11523612,0.12503713,0.2511134,0.26584954,0.27201096,0.35907336,0.52312436,0.36758793985244365,,136.33292744770415,38.283105734037235,184.30092930379124,18.789324648678303,32.361959458792725,"Jose Ramirez",13510,608070
"Mike Trout","LAA",564,2456,167,414,371,41,0.16001629,0.23778502,0.31702446,0.32912391,0.29156266,0.41588595,0.60858712,0.4227027605362718,,171.9410904831319,16.911140577634797,230.2428997470618,-0.9626230299472809,31.628422190425013,"Mike Trout",10155,545361
"Francisco Lindor","- - -",776,3450,148,516,442,102,0.08985507,0.17130435,0.20789818,0.28243301,0.26501305,0.3377907,0.47291123,0.34455815966151637,,119.59090330397682,7.189956696238369,88.95403716759503,102.53903365135193,31.54883495046186,"Francisco Lindor",12916,596019
"Aaron Judge","NYY",623,2716,192,454,428,34,0.14506627,0.27687776,0.30013164,0.33825702,0.28521281,0.39188192,0.58534445,0.4081459792582645,,166.09745703753157,3.949561668559909,215.95678912127062,2.6443227529525757,31.54019999828393,"Aaron Judge",15640,592450
"Freddie Freeman","- - -",827,3652,149,603,541,56,0.11938664,0.16511501,0.22067216,0.34859736,0.31515536,0.40251917,0.53582752,0.394861558879213,,149.27153447357475,13.740135928848758,236.72572469492565,-47.616209745407104,30.972655805685392,"Freddie Freeman",5361,518692
"Alex Bregman","HOU",732,3217,134,474,472,20,0.13863848,0.1240286,0.21946706,0.27550091,0.27350111,0.38141125,0.49296817,0.3743182771553937,,141.58725761592288,-8.275553759653121,154.184040510119,18.419161796569824,28.49979829393476,"Alex Bregman",17678,608324
"Nolan Arenado","- - -",788,3335,177,443,549,14,0.08605697,0.14782609,0.24373119,0.28722953,0.28552324,0.34823035,0.52925443,0.36645734722588963,,125.92130767976496,-3.337089931126684,102.58637630078613,60.25101871788502,27.60106478640653,"Nolan Arenado",9777,571448
"Trea Turner","- - -",779,3492,114,528,399,172,0.07359679,0.18699885,0.1799687,0.33647155,0.29295775,0.34805046,0.47292645,0.3511428277234773,,120.36930372328284,34.16619000956416,123.04033561828638,32.23644087836146,27.064943966379968,"Trea Turner",16252,607208
"Manny Machado","- - -",796,3405,170,465,524,49,0.09750367,0.17474302,0.22548696,0.29455338,0.2793001,0.34977974,0.50478706,0.35904059750693185,,130.55736159405234,-4.300265826284885,122.32876030659592,29.154781863093376,26.944762278937475,"Manny Machado",11493,592518
"Juan Soto","- - -",748,3239,150,499,452,44,0.19049089,0.17289287,0.23670008,0.3059505,0.28180416,0.41983318,0.51850424,0.39742299109932006,,152.13761686419403,-8.310970545746386,202.52208170624368,-39.8242130279541,26.854896906385715,"Juan Soto",20123,665742
"Paul Goldschmidt","- - -",813,3503,160,505,483,40,0.11932629,0.2243791,0.2209073,0.33964946,0.28829717,0.37643021,0.50920447,0.3775970946449914,,140.487005681671,13.068923020968214,186.50717770123703,-47.37206703424454,25.96631622151172,"Paul Goldschmidt",9218,502671
"Jose Altuve","HOU",657,2915,117,477,323,61,0.09674099,0.1457976,0.1992278,0.31165049,0.29305019,0.36666667,0.49227799,0.3675277295789814,,137.24149010248917,3.988047025632113,133.16623788184936,16.18912710249424,25.284026186738952,"Jose Altuve",5417,514888
"Xander Bogaerts","- - -",766,3269,120,450,445,46,0.09758336,0.18017742,0.195299,0.32971996,0.29381265,0.36586112,0.48911165,0.36452761913758686,,129.14316308454494,6.887241200776771,122.51324730184801,16.118460655212402,25.03293705155307,"Xander Bogaerts",12161,593428
"Marcus Semien","- - -",827,3742,146,553,451,81,0.09380011,0.16996259,0.19946253,0.28345546,0.2630636,0.33297673,0.46252613,0.3401300714836223,,116.92042863065949,17.546494686044753,95.93372958220354,23.233593940734863,24.836152879434973,"Marcus Semien",12533,543760
"Matt Chapman","- - -",769,3201,139,443,382,10,0.10777882,0.27085286,0.21975662,0.29723757,0.24230494,0.33177132,0.46206156,0.34013965547960523,,119.5393647185176,10.072961326921359,85.64956200693393,49.599272668361664,24.673384379454802,"Matt Chapman",16505,656305
"Ronald Acuña Jr.","ATL",643,2892,148,509,370,166,0.1137621,0.22648686,0.23830467,0.33469626,0.28828469,0.37902388,0.52658936,0.38388734875429065,,140.18419654539701,26.704600708559155,172.18373877628693,-19.118489861488342,24.64739776126474,"Ronald Acuna Jr.",18401,660670
"J.T. Realmuto","- - -",701,2860,111,393,396,62,0.07482517,0.22377622,0.20335021,0.31484502,0.26879626,0.33450088,0.47214647,0.3433573201571168,,115.7723471197313,22.236728858901188,77.32455759545574,72.8601052314043,24.51451936872017,"J.T. Realmuto",11739,592663
"Christian Yelich","MIL",732,3178,131,517,404,111,0.13152926,0.22592826,0.21050698,0.33882103,0.28251286,0.3821215,0.49301984,0.3726307444701529,,134.50470755212663,25.94854970788583,164.04109396219945,-39.66097795963287,23.21345844824613,"Christian Yelich",11477,592885
"Matt Olson","- - -",796,3400,195,474,543,8,0.11823529,0.23676471,0.2575706,0.28097909,0.25382783,0.34852941,0.51139843,0.36198448757200563,,132.4381046063647,-3.1735185962170362,131.9686800231769,-44.351466834545135,20.603707848961747,"Matt Olson",14344,621566
"Rafael Devers","BOS",754,3248,158,479,513,23,0.0794335,0.20412562,0.23387644,0.31276297,0.28071962,0.34308593,0.51459606,0.3600400323994063,,124.68836208936368,0.9573675533756614,97.73324498465456,-6.652674078941345,20.064046505773415,"Rafael Devers",17350,646240
"Carlos Correa","- - -",644,2746,105,348,362,4,0.10633649,0.21412964,0.18936877,0.30389908,0.26370432,0.34377276,0.45307309,0.34175399728473643,,119.58887589273137,-14.01466882484965,50.29983148014891,54.57529392838478,20.03689988594659,"Carlos Correa",14162,621043
"Bryce Harper","- - -",710,3065,147,468,446,67,0.15562806,0.23034258,0.24743083,0.32649472,0.27826087,0.39418681,0.5256917,0.3854456808169683,,141.77971232272253,-7.684212488820776,152.4334496112627,-51.28431910276413,19.99704739594218,"Bryce Harper",11579,547180
"Shohei Ohtani","LAA",710,2842,171,426,434,85,0.12068966,0.26389866,0.28350935,0.32432432,0.27416734,0.36485533,0.55767669,0.383137556707829,,145.26254033664205,11.170824144268408,164.71168796277226,-66.9283235669136,19.68469386621617,"Shohei Ohtani",19755,660271
"George Springer","- - -",648,2866,139,453,378,48,0.10153524,0.19190509,0.21965778,0.29153094,0.26900119,0.35003504,0.48865897,0.358057837277128,,129.97588737121507,3.5220383419655263,108.18306870838212,-11.166658386588097,19.59016262725595,"George Springer",12856,543807
"Dansby Swanson","- - -",761,3194,112,417,408,58,0.08547276,0.24765185,0.17770035,0.31187123,0.25505226,0.32234777,0.43275261,0.3234050472577413,,100.83353403794781,20.463610619539395,22.848146429873015,65.35452550649643,19.38004832510725,"Dansby Swanson",18314,621020
"Brandon Nimmo","NYM",632,2632,75,368,237,24,0.13221884,0.21732523,0.17748525,0.32758621,0.26690876,0.38095238,0.44439401,0.36131482359017636,,133.23985032613382,1.0676236671861261,108.44503100347679,-3.2826536558568478,19.34112037852327,"Brandon Nimmo",12927,607043
"Corey Seager","- - -",545,2357,109,344,360,8,0.09291472,0.16461604,0.22985217,0.30104874,0.28469242,0.35468816,0.51454459,0.3664593486869473,,133.6349962176532,-3.0821642850060016,94.33904776381377,19.11536866426468,19.19029545827086,"Corey Seager",13624,608369
"Max Muncy","LAD",723,2928,169,447,450,13,0.15403005,0.2465847,0.25733169,0.24935401,0.22924411,0.35655738,0.4865758,0.3595181483712627,,128.54158751440417,12.465251729590818,117.48300209770368,-23.81408441066742,19.18699504211847,"Max Muncy",13301,571970
"Javier Báez","- - -",755,3050,127,414,428,73,0.04491803,0.27442623,0.20091004,0.31727749,0.25656283,0.29734165,0.45747287,0.3189605874980671,,100.0650166548733,12.722868974786252,14.609097238551865,74.78183257579803,19.18070109128037,"Javier Baez",12979,595879
"Justin Turner","- - -",677,2803,107,393,395,15,0.09668213,0.15661791,0.19378577,0.31188376,0.28945217,0.37031752,0.48323794,0.36616297192962105,,132.21567703425742,-7.187859955709428,104.89946831237472,-13.789462566375732,18.5077107848622,"Justin Turner",5235,457759
"Trevor Story","- - -",613,2629,124,386,365,103,0.08292126,0.26245721,0.23912125,0.33205864,0.27249683,0.33891213,0.51161808,0.3584317983949216,,112.5589503385388,21.59144618944265,63.58987009368632,32.594217827543616,18.196937885687976,"Trevor Story",12564,596115
"Fernando Tatis Jr.","SDP",384,1679,101,281,261,75,0.09529482,0.25967838,0.27059611,0.33229814,0.28265238,0.35578069,0.55324849,0.3800230097984839,,142.62372285204555,17.95713240513578,109.6887445817305,11.295393228530884,17.60797518446575,"Fernando Tatis Jr.",19709,665487
