Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Barry Bonds","- - -",1082.1668598978108,23.10212695565133,112.58086919784546,-105.25378543138504,1105.2689868534621,7.327083766460419,21.85629329684889,314.32932247780263,1448.781686394574,143.27493504734136,177.02825621695013,"Barry Bonds",1109,111188
"Alex Rodriguez","- - -",629.6787578896505,35.3809893058351,21.848304122686386,47.19014520943165,665.0597471954856,69.03844933211803,47.62693629064597,375.37314900942147,1157.0982818276711,113.71163202697751,419.23979816967443,"Alex Rodriguez",1274,121347
"Albert Pujols","- - -",673.7346737278008,-50.03409335279139,61.39536552131176,-226.37871384620667,623.7005803750094,-164.9833483248949,33.220179493073374,394.83964141458273,886.7770529577706,88.77482972441709,541.4372837933196,"Albert Pujols",1177,405395
"Mike Trout","LAA",539.8773899641584,64.087923981715,-6.204141855239868,6.7786877900362015,603.9653139458734,0.5745459347963333,23.44575131754391,194.7909840643406,822.7765952625542,85.20292465065245,659.082601839597,"Mike Trout",10155,545361
"Chipper Jones","ATL",562.724306096841,-3.673677988554118,-43.61370784044266,8.299625840038061,559.0506281082869,-35.314082000404596,14.965628356090747,328.2904232107103,866.9925976746833,84.583813454414,252.4476984038808,"Chipper Jones",97,116706
"Adrián Beltré","- - -",215.8534312531261,-11.130159685650142,192.47553825378418,22.840283066034317,204.72327156747596,215.3158213198185,38.79556784266606,368.1964614763856,827.0311222063461,83.79983541376689,438.62685246176267,"Adrian Beltre",639,134181
"Jeff Bagwell","HOU",588.138987576262,6.457439193472965,58.12684917449951,-140.22299122810364,594.596426769735,-82.09614205360413,17.52766109345248,291.14677377417684,821.1747195837602,80.20785192601608,77.7618998044853,"Jeff Bagwell",547,110432
"Ken Griffey Jr.","- - -",448.11250158528713,-7.558925007775542,-40.03983449935913,-2.564577099867165,440.5535765775116,-42.604411599226296,30.778299025609158,331.6921612415463,760.4196252454408,75.2547769600008,130.41141195854163,"Ken Griffey Jr.",327,115135
"Derek Jeter","NYY",308.6706737584489,24.027434320931206,-137.1473382115364,117.35738886892796,332.6981080793801,-19.789949342608452,49.58673109789379,386.5825784597546,749.07746829442,73.07613040995574,273.1824883911538,"Derek Jeter",826,116539
"Frank Thomas","- - -",691.2304714064805,-38.21517726124148,-67.39745099842548,-199.95485651493073,653.0152941452391,-267.3523075133562,34.20327534293756,310.24172310344875,730.1079850782692,72.05993742316457,108.38815985672926,"Frank Thomas",255,123245
"Scott Rolen","- - -",241.9383151538558,10.482788682391401,153.11855137348175,27.200037956237793,252.4211038362472,180.31858932971954,14.827323655423243,262.97852424159646,710.5455410629864,69.85375079539834,229.75717102144583,"Scott Rolen",970,121409
"Jim Thome","- - -",589.8025228440862,-35.29505135570071,-39.58549518883228,-160.44465915858746,554.5074714883855,-200.03015434741974,36.972595130093396,319.3363100849092,710.7862223559683,69.06690566052153,182.6700111209111,"Jim Thome",409,123272
"Ivan Rodriguez","- - -",61.97878316455295,-24.941533884964883,166.45138531923294,151.49969291687012,37.03724927958807,317.95107823610306,32.86800172290532,316.7501971721649,704.6065264107614,69.02412928696877,160.2683822842418,"Ivan Rodriguez",1275,121358
"Larry Walker","- - -",410.5300885097626,21.668552062212257,82.92220735549927,-80.8178863748908,432.19864057197486,2.1043209806084633,17.600969103048556,244.48560185730457,696.3895325129365,68.85239429563352,65.9166265514476,"Larry Walker",455,123833
"Miguel Cabrera","- - -",549.4692750367435,-85.891989674652,-48.174047350883484,-149.01857447624207,463.5772853620915,-197.19262182712555,41.70608264626935,353.62669269926846,661.7174388805038,68.08842617394704,454.2022483926679,"Miguel Cabrera",1744,408234
"Carlos Beltrán","- - -",244.97727422882315,67.46348045617924,41.44378000497818,-37.31711819767952,312.4407546850024,4.12666180729866,27.69775189360371,335.83167592436075,680.0968443102655,67.76256716350971,341.74853701419744,"Carlos Beltran",589,136860
"Andruw Jones","- - -",121.59756840319898,-5.3158440495462855,276.3634464144707,2.4599539041519165,116.28172435365269,278.8234003186226,17.782210778968874,268.4878136124462,681.3751490636903,66.97973078556483,210.08242012488017,"Andruw Jones",96,116662
"Manny Ramirez","- - -",659.771966835284,-34.96054504791391,-157.06253957748413,-119.56786930561066,624.8114217873701,-276.6304088830948,33.81413254287327,303.77084667235613,685.7659921195047,66.37403275525406,173.21286416354772,"Manny Ramirez",210,120903
"Edgar Martinez","SEA",523.1942011941754,-20.863448731033714,16,-149.76131224632263,502.3307524631417,-133.76131224632263,28.920697737834416,258.5002354141325,655.990373368786,64.74894145646941,50.007339541171085,"Edgar Martinez",1086,118365
"Rafael Palmeiro","- - -",429.8079678470615,-10.892721660275129,52.369035720825195,-172.6772198677063,418.91524618678636,-120.3081841468811,34.813496741466224,321.49872759729624,654.9192863786677,64.68754636271078,62.539125886687465,"Rafael Palmeiro",1266,120191
"Jim Edmonds","- - -",325.7053070466256,-7.987265071526053,57.08393341302872,16.2231357768178,317.71804197509954,73.30706918984652,20.89921386761125,248.13811540417373,660.0624404367311,64.48948247432757,146.62225207499384,"Jim Edmonds",1153,113744
"Craig Biggio","HOU",234.3366153551389,34.70729791848862,-52.25440186262131,37.632662892341614,269.0439132736275,-14.621738970279694,24.883084193745162,365.0535618867725,644.3588203838655,63.563211154516765,94.61028234451632,"Craig Biggio",549,110987
"Gary Sheffield","- - -",574.8084289540703,10.0357886578131,-189.42482656240463,-100.1281918734312,584.8442176118834,-289.55301843583584,22.305617258592974,321.9395260941237,639.5363425287643,62.48095596219652,121.46876347225727,"Gary Sheffield",114,122111
"Mike Piazza","- - -",401.6094394370937,-31.55160242175043,-64.20802688598633,84.86794805526733,370.0578370153433,20.659921169281006,14.484258119307924,241.44231757335365,646.6443338772858,62.47606173730757,92.99535549658998,"Mike Piazza",893,120536
"Kenny Lofton","- - -",112.86893137076011,68.46666032225767,114.12087035179138,25.254900500178337,181.33559169301776,139.37577085196972,27.94361653306987,286.0712810140103,634.7262600920676,62.41741159337917,93.70857517543007,"Kenny Lofton",246,117863
"Chase Utley","- - -",180.39765659946332,76.2467866243096,82.30748504400253,21.858125247061253,256.6444432237729,104.16561029106379,12.751085345400497,236.29940289258957,609.8605417528267,61.64292295101429,396.99829665889325,"Chase Utley",1679,400284
"Sammy Sosa","- - -",311.6802383523741,-7.297048662425368,97.1846296787262,-98.78431528806686,304.3831896899487,-1.5996856093406677,19.423750616551843,299.5292470213026,621.7365017184625,60.48316898409995,74.43616713468606,"Sammy Sosa",302,122544
"Bobby Abreu","- - -",381.62547279428617,34.93009893047565,-30.727704882621765,-110.54580457508564,416.5555717247618,-141.2735094577074,26.334234445123002,310.24619695544243,611.8624936676199,59.768503947401726,231.50408872732203,"Bobby Abreu",945,110029
"Joey Votto","CIN",472.3442643697025,-36.79636833560653,0.5335869640111923,-149.84573304653168,435.54789603409597,-149.31214608252048,15.621478224231396,261.17254166305065,563.0297698388575,58.140344466109184,431.7841867034077,"Joey Votto",4314,458015
"Robinson Canó","- - -",273.68723662514964,-36.73451801389456,-18.094092965126038,23.749410839751363,236.95271861125508,5.655317874625325,33.77810406673234,286.631787026301,563.0179275789137,58.124128430136004,400.1520613879782,"Robinson Cano",3269,429664
