Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Mookie Betts","LAD",51.37242242567879,2.65987485088408,2.3698477745056152,-2.169067144393921,54.03229727656287,0.20078063011169434,1.575455225771293,17.60669885762036,73.41523199006622,7.327975986929802,58.62380789543842,"Mookie Betts",13611,605141
"Freddie Freeman","LAD",49.81964828554379,4.265387391205877,2.0268847942352295,-9.496456146240234,54.08503567674967,-7.469571352005005,1.633805419318378,18.25879881531,66.50806855937304,6.638534213255805,53.10827370604644,"Freddie Freeman",5361,518692
"Shohei Ohtani","LAA",55.38381908708352,3.759842516388744,,-13.827159881591797,59.14366160347227,-13.827159881591797,1.8221013550646603,17.699855994433165,64.8384590713783,6.471881355205432,51.775050841643456,"Shohei Ohtani",19755,660271
"Ronald Acuña Jr.","ATL",45.90214044811703,5.083713708911091,-3.1229279041290283,-5.781891822814941,50.98585415702812,-8.90481972694397,1.653255483834073,18.476165467873216,62.210455381791434,6.209565928163518,49.676527425308144,"Ronald Acuna Jr.",18401,660670
"Francisco Lindor","NYM",15.486659531897608,5.162289982661605,7.0690460205078125,5.526405334472656,20.648949514559213,12.595451354980469,1.5421122580301017,17.234070310369134,52.02058343793892,5.192459056873583,41.53967245498866,"Francisco Lindor",12916,596019
"Julio Rodríguez","SEA",18.627692623620874,5.54333784384653,5.937292098999023,1.5340641736984253,24.171030467467403,7.471356272697449,1.850871376460418,17.979327404871583,51.47258552149685,5.137760386533369,41.10208309226695,"Julio Rodriguez",23697,677594
"Bobby Witt Jr.","KCR",11.296609098056017,6.101557899266481,8.471358299255371,4.2129621505737305,17.398166997322498,12.684320449829102,1.8029213408008218,17.513541720807552,49.398950508759974,4.93077953028478,39.44623624227824,"Bobby Witt Jr.",25764,677951
"Luis Robert Jr.","CHW",20.316661698886033,2.6420696321874857,6.595462799072266,1.791837453842163,22.95873133107352,8.387300252914429,1.6494812266901135,16.023027531802654,49.01854034248072,4.8928087102231395,39.142469681785116,"Luis Robert Jr.",20043,673357
"Corbin Carroll","ARI",23.867821333442446,10.812582324258983,0.20003151893615723,-3.7448556423187256,34.68040365770143,-3.5448241233825684,1.4337476128712296,16.023027531802654,48.59235467899275,4.850268787330351,38.80215029864281,"Corbin Carroll",25878,682998
"Marcus Semien","TEX",15.321632612135616,1.3598748836666346,8.47501277923584,1.943872094154358,16.68150749580225,10.418884873390198,1.9435747787356377,18.879846394062042,47.92381354199013,4.783538038609257,38.26830430887406,"Marcus Semien",12533,543760
"Matt Olson","ATL",39.38596496050294,0.03013077098876238,-2.195446014404297,-9.807955741882324,39.4160957314917,-12.003401756286621,1.6004624515771866,17.886170268058777,46.899326694841044,4.681278401047262,37.450227208378095,"Matt Olson",14344,621566
"Ha-Seong Kim","SDP",17.073771458975493,4.019723974633962,6.028448581695557,2.0919060707092285,21.093495433609455,8.120354652404785,1.397626064484939,15.619346605613828,46.23082275611301,4.614551365289478,36.916410922315826,"Ha-Seong Kim",27506,673490
"Wander Franco","TBR",16.089714474218496,-0.02003408595919609,8.116655349731445,4.76851749420166,16.0696803882593,12.885172843933105,1.5695645005907863,15.246718058362603,45.771135791145795,4.568667494197985,36.54933995358388,"Wander Franco",23667,677551
"José Ramírez","CLE",16.81157246507046,5.294448717497289,4.593794345855713,-0.9322136044502258,22.106021182567748,3.661580741405487,1.7645613122731447,17.140913173556328,44.673076409802704,4.459064179455427,35.67251343564342,"Jose Ramirez",13510,608070
"Kyle Tucker","HOU",28.112228894792242,5.180423634126782,-3.6536760330200195,-5.968791961669922,33.29265252891902,-9.622467994689941,1.7517746360972524,17.01670365780592,42.43866282813225,4.236035134562313,33.8882810764985,"Kyle Tucker",18345,663656
"Adolis García","TEX",14.796134871073575,3.980816571973264,9.58870792388916,-5.528120040893555,18.77695144304684,4.0605878829956055,1.73898795992136,16.89249414205551,41.46902142801932,4.1392499211488065,33.11399936919045,"Adolis Garcia",19287,666969
"William Contreras","MIL",12.126407722670917,-3.210638321004808,12.130000114440918,4.002629280090332,8.91576940166611,16.13262939453125,1.2920399999711663,14.43935620598495,40.77979500215348,4.070454460569376,32.56363568455501,"William Contreras",20503,661388
"Cody Bellinger","CHC",22.18109111640578,3.4074632045812905,1.2851159572601318,-1.0556702613830566,25.588554320987072,0.2294456958770752,1.1642252902965993,13.010946774855256,39.993172082016,3.9919373230043,31.9354985840344,"Cody Bellinger",15998,641355
"Isaac Paredes","TBR",23.35244086695459,1.118488002102822,-1.7299869060516357,0.9362134337425232,24.470928869057413,-0.7937734723091125,1.4576810840517282,14.159884795546532,39.294721276346564,3.922221126606664,31.377769012853314,"Isaac Paredes",20036,670623
"Dansby Swanson","CHC",4.811865718037282,2.721553320530802,9.45911979675293,5.154320240020752,7.533419038568084,14.613440036773682,1.397626064484939,15.619346605613828,39.16383174544053,3.909156326381697,31.273250611053577,"Dansby Swanson",18314,621020
"Fernando Tatis Jr.","SDP",10.007464259127023,4.276315244846046,12.79395580291748,-5.010287284851074,14.283779503973069,7.783668518066406,1.4004046451300383,15.65039898455143,39.11825165172094,3.9046067278419225,31.23685382273538,"Fernando Tatis Jr.",19709,665487
"Juan Soto","SDP",32.14263480272571,-3.5812548086978495,-2.9573311805725098,-5.93621301651001,28.56137999402786,-8.89354419708252,1.5893481289967895,17.76196075230837,39.0191446782505,3.8947143185687767,31.157714548550214,"Juan Soto",20123,665742
"Christian Yelich","MIL",14.601370040476427,7.6191386715509,4.172436714172363,-6.6769537925720215,22.220508712027325,-2.504517078399658,1.5393336773850024,17.203017931431532,38.4583432424442,3.838737658908008,30.709901271264066,"Christian Yelich",11477,592885
"Christian Walker","ARI",20.18414284297714,0.19588520005345345,8.825746536254883,-9.539895057678223,20.380028043030592,-0.7141485214233398,1.5004335483536124,16.768284626305103,37.93459769626597,3.786459750337552,30.291678002700415,"Christian Walker",13419,572233
"Austin Riley","ATL",13.970042705317923,1.8979393648914993,0.3754734992980957,1.9615905284881592,15.867982070209422,2.337064027786255,1.5893481289967895,17.76196075230837,37.556354979300835,3.748705275250875,29.989642202007,"Austin Riley",18360,663586
"Bryson Stott","PHI",7.161775917751488,4.139687067363411,6.8021769523620605,1.6860990524291992,11.301462985114899,8.48827600479126,1.447640516096726,16.178289426490664,37.415668932493546,3.7346626311734257,29.877301049387405,"Bryson Stott",26294,681082
"Nico Hoerner","CHC",1.5599324686595368,7.261896931566298,7.3032402992248535,2.142774820327759,8.821829400225834,9.446015119552612,1.536555096739903,17.17196555249393,36.97636516901228,3.690813318946309,29.52650655157047,"Nico Hoerner",21479,663538
"Jeimer Candelario","- - -",16.027854809132254,1.2968960884027183,1.6429343223571777,0.526977002620697,17.324750897534972,2.1699113249778748,1.4198547096457332,15.867765637114644,36.78228256927322,3.671440872768366,29.37152698214693,"Jeimer Candelario",13621,600869
"Cal Raleigh","SEA",8.075321826816893,-0.6780861178413033,8.699999809265137,5.280635356903076,7.39723570897559,13.980635166168213,1.4257143936119974,13.849361006170511,36.65294627492631,3.6585311095826976,29.26824887666158,"Cal Raleigh",21534,663728
"Yandy Díaz","TBR",34.215938948576415,-5.981872723437846,-1.8420627117156982,-7.973822593688965,28.23406622513857,-9.815885305404663,1.5695645005907863,15.246718058362603,35.234463478687296,3.516944580643867,28.135556645150935,"Yandy Diaz",16578,650490
"Alex Bregman","HOU",17.298096938631737,-3.8431579214520752,-0.3229379653930664,1.8695695400238037,13.454939017179662,1.5466315746307373,1.8732480597682297,18.196694057434797,35.071512709013426,3.5006795727585356,28.005436582068285,"Alex Bregman",17678,608324
"Will Smith","LAD",13.489786789078025,1.5657479260116816,-0.5800000429153442,5.373228073120117,15.055534715089706,4.793228030204773,1.2253540644887835,13.694099111482501,34.768215921265764,3.4704058609240684,27.763246887392548,"Will Smith",19197,669257
"Ozzie Albies","ATL",13.225910720606686,4.3636938207782805,-3.1477725505828857,1.7764053344726562,17.589604541384965,-1.3713672161102295,1.417076129000634,15.836713258177042,33.47202671245241,3.3410261240598307,26.728208992478645,"Ozzie Albies",16556,645277
"Matt Chapman","TOR",8.423881346125832,1.3300984394736588,3.947732925415039,1.634087085723877,9.75397978559949,5.581820011138916,1.662267902866006,16.147237047553062,33.145304747157475,3.308414217086522,26.467313736692176,"Matt Chapman",16505,656305
"Adley Rutschman","BAL",13.535139233673952,-2.8270784616470337,0.3900001049041748,2.7554869651794434,10.708060772026919,3.145487070083618,1.7805446574930102,17.296175068244338,32.930267567847885,3.286950179671358,26.295601437370863,"Adley Rutschman",26288,668939
"James Outman","LAD",9.76716545625461,3.9225642774254084,3.538343906402588,0.5384083390235901,13.689729733680018,4.076752245426178,1.2364683870691806,13.81830862723291,32.821258993408286,3.2760694374301433,26.208555499441147,"James Outman",24770,681546
"Manny Machado","SDP",8.77753346899504,-3.002092924900353,9.819570541381836,0.12574248015880585,5.775440544094687,9.945313021540642,1.3809545806143433,15.433032331988215,32.534740478237886,3.247470456781774,25.979763654254192,"Manny Machado",11493,592518
"Bo Bichette","TOR",17.562835099568957,-2.1291649490594864,-4.956881999969482,4.633058071136475,15.43367015050947,-0.3238239288330078,1.6175145362503827,15.712503742426634,32.43986450035348,3.2380003663274186,25.90400293061935,"Bo Bichette",19612,666182
"Paul Goldschmidt","STL",18.050541492575345,0.9739325935952365,3.790947675704956,-9.92226791381836,19.02447408617058,-6.131320238113403,1.583790967706591,17.699855994433165,32.17680081019694,3.2117425400937405,25.693940320749924,"Paul Goldschmidt",9218,502671
"Ketel Marte","ARI",16.68062815873599,-3.5055189658887684,-1.3469575643539429,1.1648370027542114,13.17510919284722,-0.18212056159973145,1.4920978064183146,16.675127489492297,31.1602139271581,3.110271441173228,24.882171529385825,"Ketel Marte",13613,606466
"Gunnar Henderson","BAL",11.201136623124416,1.750647094566375,0.045491933822631836,1.750113606452942,12.951783717690791,1.7956055402755737,1.5312044720631093,14.874089511111379,31.152683241140853,3.109519762198667,24.876158097589336,"Gunnar Henderson",26289,683002
"Nolan Arenado","STL",13.51918877239765,-3.238753469660878,2.184382200241089,0.3217873275279999,10.280435302736771,2.5061695277690887,1.4615334193222225,16.333551321178675,30.581689571006756,3.052525759864141,24.42020607891313,"Nolan Arenado",9777,571448
"Randy Arozarena","TBR",18.866480311522412,0.6700489278882742,-1.6072449684143066,-6.359738349914551,19.536529239410687,-7.966983318328857,1.735791290877387,16.86144176311791,30.166778975077122,3.0111112631544326,24.08889010523546,"Randy Arozarena",19290,668227
"Brandon Nimmo","NYM",13.934525231252843,-1.5401250626891851,-2.2127010822296143,0.9184951186180115,12.394400168563658,-1.2942059636116028,1.5532265806104988,17.358279826119542,30.011700611682095,2.9956320432126513,23.96505634570121,"Brandon Nimmo",12927,607043
"Luis Arraez","MIA",18.51695375835032,-2.078807497397065,-5.889327049255371,1.4471873044967651,16.438146260953253,-4.442139744758606,1.467090580612421,16.39565607905388,29.858753175860947,2.9803655228111148,23.842924182488918,"Luis Arraez",18568,650333
"J.P. Crawford","SEA",16.94774367606465,0.2924593915231526,-9.73299789428711,5.058298110961914,17.240203067587803,-4.674699783325195,1.5663678315468132,15.215665679425001,29.347536795234422,2.9293382188060924,23.43470575044874,"J.P. Crawford",15491,641487
"Pete Alonso","NYM",20.15313018182295,-2.480501008220017,2.0882253646850586,-9.304412841796875,17.67262917360293,-7.216187477111816,1.447640516096726,16.178289426490664,28.082371639078502,2.8030551623817077,22.42444129905366,"Pete Alonso",19251,624413
"Michael Harris II","ATL",3.8660817117900077,2.511932373046875,6.117793560028076,1.5740734338760376,6.378014084836883,7.691866993904114,1.1281037419103086,12.60726584866643,27.805250669317736,2.775394202158134,22.203153617265073,"Michael Harris II",25931,671739
"Xander Bogaerts","SDP",3.1560492991762867,-1.0839268644340336,2.6040725708007812,4.453016757965088,2.072122434742253,7.057089328765869,1.4782049031928182,16.519865594804287,27.12728226150523,2.7077224659574055,21.661779727659244,"Xander Bogaerts",12161,593428
"Rafael Devers","BOS",17.067859234041237,-3.33324114093557,-6.865513801574707,1.7112475633621216,13.734618093105667,-5.1542662382125854,1.6942345933057368,16.457760836929083,26.7323472851279,2.6683018451292466,21.346414761033973,"Rafael Devers",17350,646240
"Lane Thomas","WSN",11.491276659509165,4.648232028353959,-3.23728084564209,-5.432669162750244,16.139508687863124,-8.669950008392334,1.556005161255598,17.389332205057144,26.414896045783532,2.63661530003665,21.0929224002932,"Lane Thomas",16939,657041
"Ian Happ","CHC",9.037232834337534,1.3040697812102735,3.1612701416015625,-5.8950605392456055,10.341302615547807,-2.733790397644043,1.536555096739903,17.17196555249393,26.316032867137594,2.62674722525883,21.01397780207064,"Ian Happ",17919,664023
"Josh Jung","TEX",10.742269409870898,-3.033273338340223,0.9550271034240723,1.6055091619491577,7.708996071530676,2.56053626537323,1.4736644292715937,14.315146690234542,26.058343456410043,2.6010258352596383,20.808206682077106,"Josh Jung",26299,673962
"Nathaniel Lowe","TEX",17.86779939944831,-5.613020340446383,3.2051098346710205,-9.693643569946289,12.254779059001926,-6.4885337352752686,1.8668547216802835,18.134589299559593,25.767689344966534,2.5720140581198665,20.576112464958932,"Nathaniel Lowe",19566,663993
"TJ Friedl","CIN",1.325265463239262,7.28486039955169,0.8094077706336975,0.8904888033866882,8.610125862790952,1.6998965740203857,1.2253540644887835,13.694099111482501,25.229475612782622,2.5182920007433647,20.146336005946917,"TJ Friedl",19522,670770
"Max Muncy","LAD",9.9753071428969,0.7807842851616442,-2.075331449508667,0.6692953109741211,10.756091428058545,-1.406036138534546,1.2586970322299749,14.066727658733726,24.6754799804877,2.462994665568145,19.70395732454516,"Max Muncy",13301,571970
"Alex Verdugo","BOS",6.220833678229306,-0.30656205164268613,6.317060947418213,-5.0685858726501465,5.91427162658662,1.2484750747680664,1.633497881470248,15.867765637114644,24.664010219939577,2.461849806012517,19.694798448100137,"Alex Verdugo",17027,657077
"Eugenio Suárez","SEA",3.2815068216408187,-2.7366669047623873,3.0525856018066406,1.6095099449157715,0.5448399168784315,4.662095546722412,1.7965280027128756,17.45143696293235,24.454900429246067,2.440977413686068,19.527819309488542,"Eugenio Suarez",12552,553993
"Orlando Arcia","ATL",4.144481546225688,-1.5911004678346217,2.9478111267089844,4.871398448944092,2.553381078391066,7.819209575653076,1.1447752257809043,12.793580122292042,24.310946002117092,2.4266085346861876,19.4128682774895,"Orlando Arcia",13185,606115
"Jake Burger","- - -",9.453021490255788,1.8907333882525563,-0.25544190406799316,-1.730110079050064,11.343754878508344,-1.9855519831180573,1.2964892624877393,12.979894395917654,23.63458655379568,2.35909739753548,18.87277918028384,"Jake Burger",22275,669394
"Steven Kwan","CLE",-0.623811999009448,2.0116040743887424,8.164178848266602,-5.792180061340332,1.3877920753792945,2.3719987869262695,1.844478038372472,17.91722264699638,23.521491547674415,2.3478087661897336,18.78247012951787,"Steven Kwan",24610,680757
"Whit Merrifield","TOR",2.451506457573527,2.140272528398782,2.6452460289001465,-1.7398262023925781,4.591778985972309,0.9054198265075684,1.5983345219865441,15.526189468801022,22.621722803267442,2.257997924841491,18.063983398731928,"Whit Merrifield",11281,593160
"Anthony Santander","BAL",12.167167991095328,0.5270333266817033,-0.804166316986084,-7.7091898918151855,12.694201317777031,-8.51335620880127,1.6590712338220328,16.11618466861546,21.956101011413253,2.1915585719324833,17.532468575459866,"Anthony Santander",14551,623993
"Jeremy Peña","HOU",-2.9618777770715807,1.1070703859440982,0.813235342502594,5.4715352058410645,-1.8548073911274825,6.2847705483436584,1.6239078743383288,15.774608500301838,21.828479531856342,2.1788199737933933,17.430559790347147,"Jeremy Pena",21636,665161
"Nolan Gorman","STL",9.255338226031526,2.3561272020451725,-2.0694751739501953,-1.7569732666015625,11.611465428076698,-3.826448440551758,1.1475538064260036,12.824632501229644,21.757203295180588,2.171705502632022,17.373644021056176,"Nolan Gorman",22263,669357
"Andrés Giménez","CLE",-4.476901225729197,1.7913837358355522,5.4370880126953125,1.8398483991622925,-2.6855174898936447,7.276936411857605,1.5983345219865441,15.526189468801022,21.715942912751526,2.1675870781109015,17.34069662488721,"Andres Gimenez",19950,665926
"Gleyber Torres","NYY",8.847545555731209,-3.7552259895019233,-2.8014075756073,0.4080927073955536,5.0923195662292855,-2.393314868211746,1.7453812980093062,16.954598899930716,21.39898489595756,2.1359497642596645,17.087598114077316,"Gleyber Torres",16997,650402
"Justin Turner","BOS",18.03055256035083,-1.5171292363665998,-2.732133388519287,-10.054869651794434,16.51342332398423,-12.78700304031372,1.627104543382302,15.80566087923944,21.159185706292252,2.11201409510874,16.89611276086992,"Justin Turner",5235,457759
"Trea Turner","PHI",-6.672500559049246,5.373282421845943,-2.7613139152526855,5.449244976043701,-1.2992181372033036,2.6879310607910156,1.583790967706591,17.699855994433165,20.672359885727467,2.063421346353293,16.507370770826345,"Trea Turner",16252,607208
"Bryce Harper","PHI",19.9684285397112,-3.5140964044258,-0.23937270045280457,-9.730794906616211,16.4543321352854,-9.970167607069016,1.1642252902965993,13.010946774855256,20.65933659336824,2.0621214202876494,16.496971362301196,"Bryce Harper",11579,547180
