bat_side,IDfg,Name,zscore_difference_woba,zscore_difference_slg,zscore_difference_babip,zscore_difference_wrc
R,1744,Miguel Cabrera,-0.16322754,-0.335033588,-0.57922641,-0.081494611
L,2136,David Peralta,-0.575722727,-0.321047484,-0.340256766,-0.385844139
S,2396,Carlos Santana,-0.459862314,0.109010362,0.049624403,-0.496511703
R,2967,Tommy Pham,0.649372283,1.222905555,0.158850845,0.797455282
L,3473,Anthony Rizzo,-1.456232629,-1.538062181,1.099989521,-1.282269249
L,4892,Mike Moustakas,0.684990353,0.630823448,1.673063526,0.757059038
L,4940,Jason Heyward,1.792339218,1.818466695,0.204787103,1.941581749
R,4949,Giancarlo Stanton,-1.500823343,-1.006796821,-2.107837236,-1.597201547
R,5235,Justin Turner,0.048210746,0.179959565,0.159347932,-0.057621649
S,5254,Robbie Grossman,0.078150658,0.660499842,-0.027337611,0.077802507
S,5297,Aaron Hicks,0.162299607,0.192547499,0.15273635,0.19637947
L,5343,Brandon Crawford,-1.648645989,-1.185783808,-1.450944884,-1.54310741
L,5361,Freddie Freeman,0.573296631,0.693097719,0.883736578,0.724064474
R,5417,Jose Altuve,0.502520577,-0.270511854,1.62604338,0.489107983
R,5827,Wilmer Flores,1.438479199,1.594113884,0.784190041,1.497380913
R,5933,Jean Segura,-2.147185583,-1.925279555,-1.687669963,-1.845461373
S,6153,Eduardo Escobar,-1.469628736,-1.666486002,-0.007394159,-1.284789412
R,6184,J.D. Martinez,-0.358644466,0.54061086,-1.147086378,-0.164604994
R,6887,Martin Maldonado,-0.302857238,-0.143315395,0.560954718,-0.187099898
R,7304,Salvador Perez,-1.036409387,-1.227543227,-0.081839282,-1.090877762
R,7802,Miguel Rojas,-1.139339147,-0.919480714,-1.561370631,-1.075845989
L,7859,Charlie Blackmon,0.291677947,-0.110558778,-0.649345261,0.416602944
R,8623,Donovan Solano,0.298225428,-0.167000314,-0.101470525,0.601123055
R,8709,Elvis Andrus,-0.26440162,-0.370536773,-0.206104129,-0.212602568
R,9218,Paul Goldschmidt,-0.825996535,-1.130451139,-0.222373526,-0.816874768
R,9241,Starling Marte,-2.351290358,-2.29218901,-1.329800775,-2.197891612
R,9627,Yan Gomes,0.896719822,0.779661086,1.32197506,0.974363224
R,9774,Christian Vazquez,-1.088894765,-1.201926324,-0.609009347,-0.756762176
R,9777,Nolan Arenado,-0.620313296,-0.557985897,0.291876451,-0.324019225
R,9847,Andrew McCutchen,0.369193442,-0.273832404,1.138176979,0.45532503
R,9874,DJ LeMahieu,-1.127598288,-0.635756498,-0.531997283,-1.088201496
R,10028,Christian Bethancourt,-0.602922666,-0.335364801,-0.651789867,-0.842169266
R,10155,Mike Trout,-1.995383041,-2.49134281,0.572517957,-2.101431324
R,10243,Randal Grichuk,0.699457794,0.299981677,0.909622426,0.497556209
L,10264,Brandon Belt,0.572897389,0.346251638,2.603176763,0.737666507
R,10324,Marcell Ozuna,1.681372649,1.694469236,0.975381512,1.648319552
R,10472,Enrique Hernandez,-0.73543189,-0.721954363,0.299172004,-0.686203128
S,10815,Jurickson Profar,0.018347923,0.059207601,0.737986779,-0.758675165
R,10950,Adam Duvall,1.549979623,1.483343088,1.258313071,1.450066729
L,11038,Kevin Kiermaier,1.01557341,0.650410757,0.78187506,0.891167197
R,11281,Whit Merrifield,0.422737321,0.164735475,0.462539846,0.649148825
L,11368,Yasmani Grandal,-1.520910415,-1.018864242,0.935481904,-1.386610955
R,11442,Gary Sanchez,0.184954256,0.510575287,-1.022033737,0.252564365
R,11445,Mark Canha,-1.153412234,-0.822027776,-0.828287091,-1.23415838
L,11477,Christian Yelich,-0.344980817,-0.325335841,0.083282534,-0.252138087
R,11489,Michael A. Taylor,0.430034741,1.322278143,-0.946698551,0.608566826
R,11493,Manny Machado,-0.736137325,-0.564402277,-1.270457131,-0.684245451
L,11579,Bryce Harper,-0.669126483,-1.291004444,0.984868909,-0.603359907
R,11609,Willson Contreras,-0.344696211,-0.695806724,0.528832544,-0.142416062
R,11615,Brandon Drury,0.761277004,0.842640119,1.042302168,0.868364251
R,11680,Elias Diaz,0.961476893,0.855951342,1.401838506,0.872267073
R,11737,Nick Castellanos,-0.632239928,-0.507774271,0.232384328,-0.506044283
R,11739,J.T. Realmuto,-0.581543965,-0.225756908,-0.272207788,-0.492639144
L,11899,Joc Pederson,-0.345947241,-1.046439678,-0.198578786,-0.293491814
