Name,woba_Correctness,SLG_Correctness,BABIP_Correctness,wRC+_Correctness
Andrew Benintendi,Correct :),Correct :),Correct :),Correct :)
Carlos Correa,Correct :),Correct :),Correct :),Correct :)
Max Kepler,Correct :),Correct :),Correct :),Correct :)
Jeremy Pena,Correct :),Correct :),Correct :),Correct :)
Hunter Renfroe,Correct :),Correct :),Correct :),Correct :)
Taylor Ward,Correct :),Correct :),Correct :),Correct :)
Jonah Heim,Correct :),Correct :),Correct :),Correct :)
C.J. Cron,Correct :),Correct :),Correct :),Correct :)
Garrett Cooper,Correct :),Correct :),Correct :),Correct :)
Adolis Garcia,Correct :),Correct :),Correct :),Correct :)
Michael Harris II,Correct :),Correct :),Correct :),Correct :)
Yandy Diaz,Correct :),Correct :),Correct :),Correct :)
MJ Melendez,Correct :),Correct :),Correct :),Correct :)
Ian Happ,Correct :),Correct :),Correct :),Correct :)
Dominic Smith,Correct :),Correct :),Correct :),Correct :)
Austin Hays,Correct :),Correct :),Correct :),Correct :)
Mookie Betts,Correct :),Correct :),Correct :),Correct :)
J.D. Davis,Correct :),Correct :),Correct :),Correct :)
Ronald Acuna Jr.,Correct :),Correct :),Correct :),Correct :)
Max Muncy,Correct :),Correct :),Correct :),Correct :)
Alex Bregman,Correct :),Correct :),Correct :),Correct :)
Jose Abreu,Correct :),Correct :),Correct :),Correct :)
Trea Turner,Correct :),Correct :),Correct :),Correct :)
Riley Greene,Correct :),Correct :),Correct :),Correct :)
Cody Bellinger,Correct :),Correct :),Correct :),Correct :)
CJ Abrams,Correct :),Correct :),Correct :),Correct :)
Harold Castro,Correct :),Correct :),Correct :),Correct :)
Andrew McCutchen,Correct :),Correct :),Correct :),Correct :)
Pete Alonso,Correct :),Correct :),Correct :),Correct :)
Daniel Vogelbach,Correct :),Correct :),Correct :),Correct :)
Aledmys Diaz,Correct :),Correct :),Correct :),Correct :)
Mike Moustakas,Correct :),Correct :),Correct :),Correct :)
Eddie Rosario,Correct :),Correct :),Correct :),Correct :)
Ramon Laureano,Correct :),Correct :),Correct :),Correct :)
Dansby Swanson,Correct :),Correct :),Correct :),Correct :)
Ramon Urias,Correct :),Correct :),Correct :),Correct :)
Javier Baez,Correct :),Correct :),Correct :),Correct :)
Keibert Ruiz,Correct :),Correct :),Correct :),Correct :)
Jorge Soler,Correct :),Correct :),Correct :),Correct :)
Jake McCarthy,Correct :),Correct :),Correct :),Correct :)
Steven Kwan,Correct :),Correct :),Correct :),Correct :)
Christian Bethancourt,Correct :),Correct :),Correct :),Correct :)
Freddie Freeman,Correct :),Correct :),Correct :),Correct :)
Marcell Ozuna,Correct :),Correct :),Correct :),Correct :)
Nolan Arenado,Correct :),Correct :),Correct :),Correct :)
Gary Sanchez,Correct :),Correct :),Correct :),Correct :)
Willy Adames,Correct :),Correct :),Correct :),Correct :)
Donovan Solano,Correct :),Correct :),Correct :),Correct :)
Connor Joe,Correct :),Correct :),Correct :),Correct :)
Mike Yastrzemski,Correct :),Correct :),Correct :),Correct :)
